variable	form	section_header	branch
wais_ver	neuropsych_tests	NA	wais
fsiq	neuropsych_tests	NA	wais
vci	neuropsych_tests	NA	wais
sim_raw	neuropsych_tests	NA	wais
sim_ss	neuropsych_tests	NA	wais
voc_raw	neuropsych_tests	NA	wais
voc_ss	neuropsych_tests	NA	wais
in_raw	neuropsych_tests	NA	wais
in_ss	neuropsych_tests	NA	wais
pri	neuropsych_tests	NA	wais
bd_raw	neuropsych_tests	NA	wais
bd_ss	neuropsych_tests	NA	wais
mr_raw	neuropsych_tests	NA	wais
mr_ss	neuropsych_tests	NA	wais
vp_raw	neuropsych_tests	NA	wais
vp_ss	neuropsych_tests	NA	wais
wmi	neuropsych_tests	NA	wais
dsp_raw	neuropsych_tests	NA	wais
dsp_ss	neuropsych_tests	NA	wais
dsp_rel	neuropsych_tests	NA	wais
ar_raw	neuropsych_tests	NA	wais
ar_ss	neuropsych_tests	NA	wais
psi	neuropsych_tests	NA	wais
ss_raw	neuropsych_tests	NA	wais
ss_ss	neuropsych_tests	NA	wais
cd_raw	neuropsych_tests	NA	wais
cd_ss	neuropsych_tests	NA	wais
wms_ver	neuropsych_tests	NA	wms
lm_ver	neuropsych_tests	NA	wms
lmi_raw	neuropsych_tests	NA	wms
lmi_ss	neuropsych_tests	NA	wms
lmii_raw	neuropsych_tests	NA	wms
lmii_ss	neuropsych_tests	NA	wms
lmrec_raw	neuropsych_tests	NA	wms
lmrec_per	neuropsych_tests	NA	wms
vpai_raw	neuropsych_tests	NA	wms
vpai_ss	neuropsych_tests	NA	wms
vpaii_raw	neuropsych_tests	NA	wms
vpaii_ss	neuropsych_tests	NA	wms
vparec_raw	neuropsych_tests	NA	wms
vparec_perc	neuropsych_tests	NA	wms
vri_raw	neuropsych_tests	NA	wms
vri_ss	neuropsych_tests	NA	wms
vrii_raw	neuropsych_tests	NA	wms
vrii_ss	neuropsych_tests	NA	wms
vrrec_raw	neuropsych_tests	NA	wms
vrrec_per	neuropsych_tests	NA	wms
vrcopy_raw	neuropsych_tests	NA	wms
vrcopy_perc	neuropsych_tests	NA	wms
spat_span_raw	neuropsych_tests	NA	wms
spat_span_ss	neuropsych_tests	NA	wms
hvlt_form	neuropsych_tests	NA	hvlt
hvlt_tot_raw	neuropsych_tests	NA	hvlt
hvlt_tot_ss	neuropsych_tests	NA	hvlt
hvlt_tot_per	neuropsych_tests	NA	hvlt
hvlt_tot_int	neuropsych_tests	NA	hvlt
hvlt_delay_raw	neuropsych_tests	NA	hvlt
hvlt_delay_ss	neuropsych_tests	NA	hvlt
hvlt_perc_raw	neuropsych_tests	NA	hvlt
hvlt_perc_ss	neuropsych_tests	NA	hvlt
hvlt_disc_raw	neuropsych_tests	NA	hvlt
hvlt_disc_ss	neuropsych_tests	NA	hvlt
hvlt_disc_tp	neuropsych_tests	NA	hvlt
hvlt_disc_fp	neuropsych_tests	NA	hvlt
hvlt_disc_fn	neuropsych_tests	NA	hvlt
hvlt_memprofile	neuropsych_tests	NA	hvlt
hvlt_memprofile_mixedexplained	neuropsych_tests	NA	hvlt
hvltmemprofile2	neuropsych_tests	NA	hvlt
hvltmemprofile2_mixedexplained	neuropsych_tests	NA	hvlt
cvlt_form	neuropsych_tests	NA	cvlt
cvlt_tot_raw	neuropsych_tests	NA	cvlt
cvlt_tot_ss	neuropsych_tests	NA	cvlt
cvlt_sdelayfree_raw	neuropsych_tests	NA	cvlt
cvlt_sdelayfree_ss	neuropsych_tests	NA	cvlt
cvlt_sdelaycued_raw	neuropsych_tests	NA	cvlt
cvlt_sdelaycued_ss	neuropsych_tests	NA	cvlt
cvlt_ldelayfree_raw	neuropsych_tests	NA	cvlt
cvlt_ldelayfree_ss	neuropsych_tests	NA	cvlt
cvlt_ldelaycued_raw	neuropsych_tests	NA	cvlt
cvlt_ldelaycued_ss	neuropsych_tests	NA	cvlt
cvlt_recogdisc_raw	neuropsych_tests	NA	cvlt
cvlt_recogdisc_ss	neuropsych_tests	NA	cvlt
cvlt_fcrecog_perc	neuropsych_tests	NA	cvlt
bvmt_form	neuropsych_tests	NA	bvmt
