measure	row	version	bold_header	indent_header	worksheet	redcap	column
COGNITIVE STATUS	12	2	COGNITIVE STATUS	COGNITIVE STATUS	Template	NA	NA
Information & Orientation (WMS-III)	14	2	Information & Orientation (WMS-III)	Information & Orientation (WMS-III)	Template	wms_io_per	5
Information & Orientation (WMS-III)	14	2	Information & Orientation (WMS-III)	Information & Orientation (WMS-III)	Template	wms_io_raw	3
Temporal Orientation	15	2	Temporal Orientation	Temporal Orientation	Template	NA	NA
Mini Mental State Examination	16	2	Mini Mental State Examination	Mini Mental State Examination	Template	NA	NA
R-BANS	17	2	R-BANS	R-BANS	Template	NA	NA
Total Scale	18	2	R-BANS	R-BANS	Template	NA	NA
Immediate Memory	19	2	R-BANS	R-BANS	Template	NA	NA
List Learning	20	2	R-BANS	Immediate Memory	Template	NA	NA
Story Memory	21	2	R-BANS	Immediate Memory	Template	NA	NA
Visuospatial/Constructional	22	2	R-BANS	R-BANS	Template	NA	NA
Figure Copy	23	2	R-BANS	Visuospatial/Constructional	Template	NA	NA
Line Orientation	24	2	R-BANS	Visuospatial/Constructional	Template	NA	NA
Language	25	2	R-BANS	R-BANS	Template	NA	NA
Picture Naming	26	2	R-BANS	Language	Template	NA	NA
Semantic Fluency	27	2	R-BANS	Language	Template	NA	NA
Attention	28	2	R-BANS	R-BANS	Template	NA	NA
Digit Span	29	2	R-BANS	Attention	Template	NA	NA
Coding	30	2	R-BANS	Attention	Template	NA	NA
Delayed Memory	31	2	R-BANS	R-BANS	Template	NA	NA
List Recall	32	2	R-BANS	Delayed Memory	Template	NA	NA
List Recognition	33	2	R-BANS	Delayed Memory	Template	NA	NA
Story Recall	34	2	R-BANS	Delayed Memory	Template	NA	NA
Figure Recall	35	2	R-BANS	Delayed Memory	Template	NA	NA
Mattis Dementia Rating Scale-2	36	2	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	Template	NA	NA
Attention	37	2	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	Template	NA	NA
Initiation / Perseveration	38	2	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	Template	NA	NA
Constructional	39	2	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	Template	NA	NA
Conceptualization	40	2	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	Template	NA	NA
Memory	41	2	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	Template	NA	NA
Total Score	42	2	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	Template	NA	NA
INTELLECTUAL ABILITY	44	2	INTELLECTUAL ABILITY	INTELLECTUAL ABILITY	Template	NA	NA
Wechsler Adult Intelligence Scale-IV	46	2	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	Template	NA	NA
Full Scale IQ	47	2	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	Template	fsiq	3
Verbal Comprehension Index	48	2	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	Template	vci	4
Similarities	49	2	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	Template	sim_raw	3
