measure	row	version	bold_header	indent_header	redcap	worksheet	column
COGNITIVE STATUS	12	2	COGNITIVE STATUS	COGNITIVE STATUS	NA	NA	NA
Information & Orientation (WMS-III)	14	2	Information & Orientation (WMS-III)	Information & Orientation (WMS-III)	wms_io_raw	Template	3
Information & Orientation (WMS-III)	14	2	Information & Orientation (WMS-III)	Information & Orientation (WMS-III)	wms_io_per	Template	5
Temporal Orientation	15	2	Temporal Orientation	Temporal Orientation	NA	NA	NA
Mini Mental State Examination	16	2	Mini Mental State Examination	Mini Mental State Examination	NA	NA	NA
R-BANS	17	2	R-BANS	R-BANS	NA	NA	NA
Total Scale	18	2	R-BANS	R-BANS	NA	NA	NA
Immediate Memory	19	2	R-BANS	R-BANS	NA	NA	NA
List Learning	20	2	R-BANS	Immediate Memory	NA	NA	NA
Story Memory	21	2	R-BANS	Immediate Memory	NA	NA	NA
Visuospatial/Constructional	22	2	R-BANS	R-BANS	NA	NA	NA
Figure Copy	23	2	R-BANS	Visuospatial/Constructional	NA	NA	NA
Line Orientation	24	2	R-BANS	Visuospatial/Constructional	NA	NA	NA
Language	25	2	R-BANS	R-BANS	NA	NA	NA
Picture Naming	26	2	R-BANS	Language	NA	NA	NA
Semantic Fluency	27	2	R-BANS	Language	NA	NA	NA
Attention	28	2	R-BANS	R-BANS	NA	NA	NA
Digit Span	29	2	R-BANS	Attention	NA	NA	NA
Coding	30	2	R-BANS	Attention	NA	NA	NA
Delayed Memory	31	2	R-BANS	R-BANS	NA	NA	NA
List Recall	32	2	R-BANS	Delayed Memory	NA	NA	NA
List Recognition	33	2	R-BANS	Delayed Memory	NA	NA	NA
Story Recall	34	2	R-BANS	Delayed Memory	NA	NA	NA
Figure Recall	35	2	R-BANS	Delayed Memory	NA	NA	NA
Mattis Dementia Rating Scale-2	36	2	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Attention	37	2	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Initiation / Perseveration	38	2	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Constructional	39	2	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Conceptualization	40	2	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Memory	41	2	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Total Score	42	2	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
INTELLECTUAL ABILITY	44	2	INTELLECTUAL ABILITY	INTELLECTUAL ABILITY	NA	NA	NA
Wechsler Adult Intelligence Scale-IV	46	2	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	NA	NA	NA
Full Scale IQ	47	2	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	fsiq	Template	3
Verbal Comprehension Index	48	2	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	vci	Template	4
Similarities	49	2	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	sim_raw	Template	3
Similarities	49	2	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	sim_ss	Template	4
Vocabulary	50	2	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	voc_raw	Template	3
Vocabulary	50	2	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	voc_ss	Template	4
Information	51	2	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	in_raw	Template	3
Information	51	2	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	in_ss	Template	4
Comprehension	52	2	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	NA	NA	NA
Perceptual Reasoning Index	53	2	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	pri	Template	4
Block Design	54	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	bd_raw	Template	3
Block Design	54	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	bd_ss	Template	4
Matrix Reasoning	55	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	mr_raw	Template	3
Matrix Reasoning	55	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	mr_ss	Template	4
Visual Puzzles	56	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	vp_raw	Template	3
Visual Puzzles	56	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	vp_ss	Template	4
Picture Completion	57	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	dsp_raw	Template	3
Picture Completion	57	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	dsp_ss	Template	4
Figure Weights	58	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	NA	NA	NA
Working Memory Index	59	2	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	wmi	Template	4
Digit Span	60	2	Wechsler Adult Intelligence Scale-IV	Working Memory Index	NA	NA	NA
Arithmetic	61	2	Wechsler Adult Intelligence Scale-IV	Working Memory Index	ar_raw	Template	3
Arithmetic	61	2	Wechsler Adult Intelligence Scale-IV	Working Memory Index	ar_ss	Template	4
L-N Sequencing	62	2	Wechsler Adult Intelligence Scale-IV	Working Memory Index	NA	NA	NA
Processing Speed Index	63	2	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	psi	Template	4
Symbol Search	64	2	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	ss_raw	Template	3
Symbol Search	64	2	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	ss_ss	Template	4
Coding	65	2	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	cd_raw	Template	3
Coding	65	2	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	cd_ss	Template	4
Cancellation	66	2	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	NA	NA	NA
Wechsler Adult Intelligence Scale-III	67	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Verbal IQ	68	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Performance IQ	69	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Full Scale IQ	70	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Verbal Comprehension Index	71	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Vocabulary	72	2	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	NA	NA	NA
Similarities	73	2	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	NA	NA	NA
Information	74	2	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	NA	NA	NA
Comprehension	75	2	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	NA	NA	NA
Perceptual Organization Index	76	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Picture Completion	77	2	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	NA	NA	NA
Block Design	78	2	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	NA	NA	NA
Matrix Reasoning	79	2	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	NA	NA	NA
Picture Arrangement	80	2	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	NA	NA	NA
Working Memory Index	81	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Arithmetic	82	2	Wechsler Adult Intelligence Scale-III	Working Memory Index	NA	NA	NA
Digit Span	83	2	Wechsler Adult Intelligence Scale-III	Working Memory Index	NA	NA	NA
L-N Sequencing	84	2	Wechsler Adult Intelligence Scale-III	Working Memory Index	NA	NA	NA
Processing Speed Index	85	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Digit Symbol-Coding	86	2	Wechsler Adult Intelligence Scale-III	Processing Speed Index	NA	NA	NA
